taxon_name,taxon_rank,identifications_count,created_at,observed_on,longitude,latitude,positional_accuracy,user_login,user_id,user_name,user_observations_count,license_code,num_identification_agreements,uri
Noctuinae,subfamily,1,2023-10-11T11:35:38-03:00,2022-10-29,-56.1383576621,-34.8804495014,61,natu2kite,7507269,Natalia Villar Calo,55,cc-by-nc,1,https://www.inaturalist.org/observations/187121791
Tarentola mauritanica mauritanica,subspecies,3,2023-06-29T23:16:22-03:00,2022-10-29,-56.1108945,-34.8914383333,40,victoria_morales,6616369,Victoria Morales,193,cc-by-nc,2,https://www.inaturalist.org/observations/170214186
Danaus erippus,species,6,2023-06-12T03:41:11-03:00,2022-10-29,-55.9877047688,-34.855217075,122,paola_torres,6416120,Paola Torres,152,cc-by-nc,6,https://www.inaturalist.org/observations/166969933
Ardea alba,species,6,2023-06-09T21:04:16-03:00,2022-10-29,-55.9884702042,-34.8473970383,146,paola_torres,6416120,Paola Torres,152,cc-by-nc,6,https://www.inaturalist.org/observations/166503855
Austroeupatorium inulifolium,species,1,2023-05-26T21:32:19-03:00,2022-10-28,-55.7452293858,-34.2148591881,11,luciano_patron,4794023,Luciano Patrón,557,cc-by-nc,1,https://www.inaturalist.org/observations/163907004
Pavonia hastata,species,0,2023-05-26T21:10:10-03:00,2022-10-28,-55.7452149689,-34.2148187093,103,luciano_patron,4794023,Luciano Patrón,557,cc-by-nc,0,https://www.inaturalist.org/observations/163903962
Embernagra platensis,species,1,2023-05-19T21:52:36-03:00,2022-10-28,-55.7450389646,-34.2149790448,4,luciano_patron,4794023,Luciano Patrón,557,cc-by-nc,1,https://www.inaturalist.org/observations/162579439
Calanidae,family,1,2023-05-10T02:58:31-03:00,2022-10-28,-56.1172876507,-34.8820816085,221,franco_mendez,6811809,,40,cc-by-nc,1,https://www.inaturalist.org/observations/160864486
Hypochaeris albiflora,species,2,2023-05-03T15:53:13-03:00,2022-10-29,-55.614628325,-30.9334426821,31,gmmv80,1439323,Guillermo Menéndez,2241,cc-by-nc,2,https://www.inaturalist.org/observations/159489582
Danaus erippus,species,2,2023-04-24T09:20:52-03:00,2022-10-29,-53.7776889279,-34.3467391118,1342,leyla11,2659407,Leyla Cuello,46,cc-by-nc,2,https://www.inaturalist.org/observations/156403339
Xyleus discoideus,species,2,2023-02-22T00:49:10-03:00,2022-10-29,-58.0990893742,-33.2643771793,9,joselinlistur,2390056,Joselin Listur,316,NA,2,https://www.inaturalist.org/observations/149378533
Vittaria lineata,species,2,2023-02-14T21:24:50-03:00,2022-10-31,-53.6581166667,-32.2883833333,23,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148794642
Glandularia selloi,species,1,2023-02-14T21:24:46-03:00,2022-10-31,-53.7289083333,-32.1407555556,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148794619
Feijoa sellowiana,species,3,2023-02-14T21:24:45-03:00,2022-10-30,-55.9850222222,-31.3600138889,19,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148794617
Hippeastrum vittatum,species,5,2023-02-14T21:24:45-03:00,2022-10-29,-55.8681666667,-31.3538666667,50,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,4,https://www.inaturalist.org/observations/148794615
Cheilanthes hieronymi,species,1,2023-02-14T21:24:44-03:00,2022-10-30,-55.9851888889,-31.3629638889,43,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148794614
Polypodiopsida,class,1,2023-02-14T21:24:44-03:00,2022-10-29,-55.9914333333,-31.359375,9,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148794613
Frailea pygmaea,species,2,2023-02-14T21:24:43-03:00,2022-10-29,-55.9785415896,-31.2631951357,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148794612
Nymphoides humboldtiana,species,2,2023-02-14T15:41:59-03:00,2022-10-31,-53.7679972222,-32.1300861111,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148774776
Hydrocleys,genus,1,2023-02-14T15:41:59-03:00,2022-10-30,-55.8073777778,-31.4955138889,8,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148774775
Eryngium nudicaule,species,2,2023-02-14T03:11:49-03:00,2022-10-29,-55.9923222222,-31.3598722222,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148744276
Lupinus bracteolaris,species,2,2023-02-14T01:36:37-03:00,2022-10-31,-53.7285722222,-32.1377027778,14,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741208
Senecio brasiliensis,species,3,2023-02-14T01:36:35-03:00,2022-10-31,-53.6589861111,-32.2874138889,34,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148741198
Senecio selloi,species,3,2023-02-14T01:36:35-03:00,2022-10-31,-53.7575861111,-32.1402333333,9,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148741197
Oxypetalum solanoides,species,2,2023-02-14T01:36:35-03:00,2022-10-31,-53.7582972222,-32.1403611111,6,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741196
Mimosa flagellaris,species,2,2023-02-14T01:36:34-03:00,2022-10-31,-53.7584027778,-32.1403416667,12,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741195
Oxalis,genus,1,2023-02-14T01:36:34-03:00,2022-10-31,-53.7337833333,-32.132125,6,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148741194
Cuphea racemosa,species,2,2023-02-14T01:36:34-03:00,2022-10-31,-53.7327777778,-32.1330138889,9,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741193
Panphalea heterophylla,species,1,2023-02-14T01:36:34-03:00,2022-10-31,-53.7318527778,-32.1348833333,10,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148741192
Triodanis biflora,species,2,2023-02-14T01:36:33-03:00,2022-10-31,-53.7318222222,-32.1348944444,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741190
Cuphea,genus,1,2023-02-14T01:36:33-03:00,2022-10-31,-53.7289277778,-32.1386805556,6,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148741189
Eryngium horridum,species,2,2023-02-14T01:36:33-03:00,2022-10-31,-53.7291638889,-32.1406833333,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741188
Parodia ottonis,species,4,2023-02-14T01:36:32-03:00,2022-10-29,-55.9294317531,-31.3984545616,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,4,https://www.inaturalist.org/observations/148741187
Dolichandra unguis-cati,species,2,2023-02-14T01:36:32-03:00,2022-10-31,-53.7289388889,-32.1398416667,6,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741186
Richardia humistrata,species,2,2023-02-14T01:36:32-03:00,2022-10-31,-53.7288944444,-32.1407472222,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741185
Senecio heterotrichius,species,2,2023-02-14T01:36:31-03:00,2022-10-31,-53.72895,-32.1407055556,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741184
Oxalis,genus,2,2023-02-14T01:36:31-03:00,2022-10-31,-53.7289694444,-32.1406944444,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741183
Eubrachion ambiguum,species,0,2023-02-14T01:36:31-03:00,2022-10-31,-53.7285277778,-32.1410111111,10,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148741181
Aloysia gratissima,species,2,2023-02-14T01:36:30-03:00,2022-10-31,-53.7269638889,-32.1430444444,16,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741180
Scoparia montevidensis,species,3,2023-02-14T01:36:30-03:00,2022-10-31,-53.7291305556,-32.1409027778,14,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148741179
Eugenia uniflora,species,2,2023-02-14T01:36:30-03:00,2022-10-31,-53.732575,-32.134075,21,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741178
Mutisia coccinea,species,3,2023-02-14T01:36:29-03:00,2022-10-31,-53.7335388889,-32.1332944444,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148741176
Senecio heterotrichius,species,2,2023-02-14T01:36:29-03:00,2022-10-30,-55.807525,-31.4953555556,6,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741175
Baccharis aliena,species,2,2023-02-14T01:36:28-03:00,2022-10-30,-55.9352527778,-31.3839555556,15,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741173
Dorstenia brasiliensis,species,3,2023-02-14T01:36:28-03:00,2022-10-30,-55.9860833333,-31.3616722222,12,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148741172
Doryopteris triphylla,species,3,2023-02-14T01:36:28-03:00,2022-10-30,-55.9868388889,-31.3628305556,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148741171
Magnoliopsida,class,0,2023-02-14T01:36:27-03:00,2022-10-30,-55.9849388889,-31.3599138889,13,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148741170
Aspilia montevidensis,species,3,2023-02-14T01:36:27-03:00,2022-10-30,-55.9863138889,-31.3630416667,11,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148741169
Ophioglossum crotalophoroides,species,2,2023-02-14T01:36:27-03:00,2022-10-30,-55.9862444444,-31.3630083333,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741168
Briza minor,species,2,2023-02-14T01:36:27-03:00,2022-10-30,-55.9856916667,-31.3629638889,15,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741165
Parodia mammulosa,species,3,2023-02-14T01:36:26-03:00,2022-10-30,-55.9849361111,-31.3619638889,30,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148741163
Scoparia montevidensis,species,2,2023-02-14T01:36:26-03:00,2022-10-29,-55.9906694444,-31.3588555556,10,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741162
Solanum sisymbriifolium,species,2,2023-02-14T01:36:25-03:00,2022-10-30,-55.9853638889,-31.363175,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741161
Frailea pygmaea,species,2,2023-02-14T01:36:25-03:00,2022-10-29,-55.9563398048,-31.3371445346,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741160
Doryopteris triphylla,species,3,2023-02-14T01:36:25-03:00,2022-10-29,-55.9916305556,-31.3590805556,9,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148741159
Krapovickasia flavescens,species,2,2023-02-14T01:36:25-03:00,2022-10-29,-55.9922777778,-31.3595722222,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148741157
Sisyrinchium,genus,1,2023-02-14T01:36:25-03:00,2022-10-29,-55.9924805556,-31.3601083333,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148741156
Billbergia nutans,species,3,2023-02-14T01:36:24-03:00,2022-10-29,-55.9917361111,-31.3598166667,49,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148741155
Dyckia,genus,3,2023-02-12T20:12:49-03:00,2022-10-29,-55.9918361111,-31.363625,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148647016
Geranium albicans,species,1,2023-02-12T20:12:49-03:00,2022-10-29,-55.9917444444,-31.3638222222,16,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148647015
Sebastiania,genus,0,2023-02-12T20:12:48-03:00,2022-10-29,-55.9918277778,-31.3635333333,8,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148647014
Peperomia trineuroides,species,1,2023-02-12T20:12:48-03:00,2022-10-29,-55.9919583333,-31.3632972222,22,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148647013
Gelasine elongata,species,1,2023-02-12T20:12:48-03:00,2022-10-29,-55.991875,-31.36365,15,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148647012
Microgramma squamulosa,species,2,2023-02-12T20:12:48-03:00,2022-10-29,-55.9919305556,-31.3633361111,8,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148647010
Doryopteris lorentzii,species,2,2023-02-12T20:12:48-03:00,2022-10-29,-55.9920361111,-31.3616916667,36,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148647008
Pavonia,genus,4,2023-02-12T20:12:47-03:00,2022-10-29,-55.9918222222,-31.3636388889,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148647007
Polypodiopsida,class,0,2023-02-12T20:12:47-03:00,2022-10-29,-55.9914333333,-31.359375,9,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148647006
Campyloneurum nitidum,species,1,2023-02-12T20:12:47-03:00,2022-10-29,-55.9924916667,-31.3610027778,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148647004
Aspilia montevidensis,species,1,2023-02-12T20:12:46-03:00,2022-10-29,-55.9919305556,-31.3634166667,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148647002
Sisyrinchium scariosum,species,1,2023-02-12T20:12:46-03:00,2022-10-29,-55.9918444444,-31.3635111111,10,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148647001
Cypella exilis,species,1,2023-02-12T20:12:46-03:00,2022-10-29,-55.991675,-31.3623861111,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148647000
Opuntia ficus-indica,species,1,2023-02-12T20:12:45-03:00,2022-10-29,-55.9917611111,-31.3636694444,17,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148646999
Gamochaeta americana,species,1,2023-02-12T20:12:45-03:00,2022-10-29,-55.9917638889,-31.3637138889,17,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148646997
Chaptalia nutans,species,2,2023-02-12T20:12:45-03:00,2022-10-29,-55.9918777778,-31.3637861111,29,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646996
Tradescantia tenella,species,1,2023-02-12T20:12:44-03:00,2022-10-29,-55.9917416667,-31.3638111111,11,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148646993
Cheilanthes micropteris,species,0,2023-02-12T20:12:44-03:00,2022-10-29,-55.9917444444,-31.36355,16,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148646991
Calliandra tweediei,species,1,2023-02-12T20:12:44-03:00,2022-10-29,-55.9917944444,-31.3634888889,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148646989
Manihot grahamii,species,2,2023-02-12T20:12:43-03:00,2022-10-29,-55.9917861111,-31.3636305556,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646988
Crocanthemum brasiliense,species,2,2023-02-12T20:12:43-03:00,2022-10-29,-55.9918277778,-31.3634472222,6,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646987
Microgramma squamulosa,species,2,2023-02-12T20:12:43-03:00,2022-10-29,-55.9918361111,-31.3633361111,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646986
Cupania vernalis,species,1,2023-02-12T20:12:42-03:00,2022-10-29,-55.9909055556,-31.3635777778,10,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148646984
Adiantum raddianum,species,2,2023-02-12T20:12:42-03:00,2022-10-29,-55.990475000000004,-31.3635027778,19,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646983
Adiantum poiretii,species,2,2023-02-12T20:12:42-03:00,2022-10-29,-55.9903055556,-31.3635555556,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646982
Parodia tenuicylindrica,species,3,2023-02-12T20:12:41-03:00,2022-10-29,-55.9081263174,-31.2470943101,21,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148646981
Doryopteris concolor,species,2,2023-02-12T20:12:41-03:00,2022-10-29,-55.9901694444,-31.3634833333,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646980
Lithraea molleoides,species,0,2023-02-12T20:12:41-03:00,2022-10-29,-55.9894055556,-31.3643111111,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148646979
Cyclopogon,genus,2,2023-02-12T20:12:40-03:00,2022-10-29,-55.9902166667,-31.3634777778,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646978
Senecio leptolobus,species,1,2023-02-12T20:12:40-03:00,2022-10-29,-55.9895472222,-31.3646861111,22,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148646977
Discaria americana,species,1,2023-02-12T20:12:40-03:00,2022-10-29,-55.9895027778,-31.3645333333,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148646976
Baccharis articulata,species,1,2023-02-12T20:12:39-03:00,2022-10-29,-55.9894777778,-31.3646861111,24,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148646975
Croton cuchillae-nigrae,species,0,2023-02-12T20:12:39-03:00,2022-10-29,-55.9884027778,-31.3643083333,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148646974
Croton cuchillae-nigrae,species,2,2023-02-12T20:12:39-03:00,2022-10-29,-55.9883277778,-31.3643027778,8,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646973
Baccharis dracunculifolia,species,0,2023-02-12T20:12:39-03:00,2022-10-29,-55.9873888889,-31.36375,9,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148646972
Calydorea charruana,species,1,2023-02-12T20:12:38-03:00,2022-10-29,-55.9867166667,-31.3626722222,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148646971
Schinus lentiscifolia,species,2,2023-02-12T20:12:38-03:00,2022-10-29,-55.9893722222,-31.3647222222,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646970
Anemia tomentosa,species,2,2023-02-12T20:12:38-03:00,2022-10-28,-55.9958333333,-31.3615666667,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148646969
Oenothera indecora,species,2,2023-02-12T03:43:56-03:00,2022-10-28,-55.9961305556,-31.3619027778,21,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584937
Doryopteris triphylla,species,2,2023-02-12T03:43:55-03:00,2022-10-28,-55.9961083333,-31.3624944444,71,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584935
Microgyne marchesiana,species,1,2023-02-12T03:43:55-03:00,2022-10-28,-55.9946222222,-31.3609527778,9,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148584934
Parodia mammulosa,species,2,2023-02-12T03:43:54-03:00,2022-10-28,-55.9961472222,-31.3624527778,16,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584933
Herbertia quareimana,species,3,2023-02-12T03:43:54-03:00,2022-10-29,-55.9849027778,-31.36,6,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148584932
Melica,genus,2,2023-02-12T03:43:54-03:00,2022-10-28,-55.9923555556,-31.3597333333,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584931
Sacoila lanceolata,species,1,2023-02-12T03:43:53-03:00,2022-10-28,-55.9924805556,-31.3601083333,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148584929
Mimosa,genus,1,2023-02-12T03:43:53-03:00,2022-10-28,-55.995558333300004,-31.3614888889,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148584928
Lupinus gibertianus,species,2,2023-02-12T03:43:53-03:00,2022-10-28,-55.9923444444,-31.3596972222,20,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584927
Lecanoromycetes,class,2,2023-02-12T03:43:52-03:00,2022-10-28,-55.9957666667,-31.3624888889,7,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584926
Radlkoferotoma berroi,species,1,2023-02-12T03:43:52-03:00,2022-10-28,-55.9957055556,-31.3624916667,27,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148584925
Nicotiana bonariensis,species,2,2023-02-12T03:43:52-03:00,2022-10-28,-55.9918833333,-31.3593666667,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584924
Radlkoferotoma berroi,species,1,2023-02-12T03:43:51-03:00,2022-10-28,-55.9922416667,-31.3595444444,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148584923
Mitracarpus megapotamicus,species,1,2023-02-12T03:43:50-03:00,2022-10-28,-55.9917944444,-31.3593611111,11,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148584922
Porophyllum linifolium,species,2,2023-02-12T03:43:50-03:00,2022-10-28,-55.9917305556,-31.3593527778,21,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584920
Cheilanthes micropteris,species,0,2023-02-12T03:43:50-03:00,2022-10-28,-55.9912027778,-31.3589916667,6,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148584918
Lippia coarctata,species,2,2023-02-12T03:43:49-03:00,2022-10-28,-55.9898944444,-31.3585305556,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584917
Baccharis articulata,species,2,2023-02-12T03:43:49-03:00,2022-10-28,-55.9891444444,-31.3580694444,15,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584916
Baccharis,genus,0,2023-02-12T03:43:49-03:00,2022-10-28,-55.9899027778,-31.3585277778,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148584915
Trifolium polymorphum,species,3,2023-02-12T03:43:48-03:00,2022-10-28,-55.9840444444,-31.3587472222,127,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148584914
Cereus hildmannianus,species,1,2023-02-12T03:43:48-03:00,2022-10-28,-55.984825,-31.3598055556,14,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,1,https://www.inaturalist.org/observations/148584913
Gomesa bifolia,species,4,2023-02-12T03:43:48-03:00,2022-10-28,-55.9847805556,-31.3598361111,8,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,3,https://www.inaturalist.org/observations/148584912
Vernonanthura montevidensis,species,0,2023-02-12T03:43:47-03:00,2022-10-28,-56.6178777778,-30.4485388889,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,0,https://www.inaturalist.org/observations/148584911
Senecio brasiliensis,species,2,2023-02-12T03:43:47-03:00,2022-10-28,-56.1144416667,-31.2663583333,5,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584910
Senecio brasiliensis,species,2,2023-02-12T03:43:47-03:00,2022-10-28,-56.1134805556,-31.2704111111,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584909
Centaurium pulchellum,species,2,2023-02-12T03:43:46-03:00,2022-10-28,-56.6178861111,-30.4485472222,4,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148584907
